name,description,maker,trademark
Agua Manzanada Terma Manzana y Enebro  200 mL,Agua Manzanada Terma Manzana y Enebro  200 mL, Terma ,Manzanada
Vino Tinto Benjamín Nieto Senetiner Malbec 750 mL,Vino Tinto Benjamín Nieto Senetiner Malbec 750 mL,Bodegas Nietos Senetier,Benjamin Nieto
Huevo De Pascua Georgalos De Chocolate Negro Con Leche Paquete,Huevo De Pascua Georgalos De Chocolate Negro Con Leche Paquete 75 Gr,,Georgalos
Leche Entera Ilolay 1 Lt,Leche Entera Ilolay 1 Lt,,Ilolay
Yogur Bebible Ilolay Light Sabor Vainilla Sachet X 1 Kg.,Yogur Bebible Ilolay Light Sabor Vainilla Sachet X 1 Kg.,,La Gallega
Jugo Jumex de Piña 335 mL,Jugo Jumex de Piña 335 mL,Grupo Jumex,Jumex
Salchichas Paty De Viena 225 Gr,Salchichas Paty De Viena 225 Gr,,Paty
Jugo Cepita Del Valle de Naranja Con Pulpa 1 L,Jugo Cepita Del Valle de Naranja Con Pulpa 1 L,The Coca-Cola Company,Cepita Del Valle
Vino San Huberto Cabernet Sauvignon,Vino San Huberto Cabernet Sauvignon Crianza Botella 750 Cc,San Huberto,San Huberto
Buenalma Tinto Malbec Organico-Bot-Cc.-750,Buenalma Tinto Malbec Organico-Bot-Cc.-751,,Buenalma
Queso Provolone Magnasco,Queso Provolone Magnasco Trozado 1 Kg.,Magnasco,Magnasco
Huevo De Pascua Cannettine 75 Gr,Huevo De Pascua Cannettine 75 Gr,,Cannettine
Vino Dulce Alaris Cosecha Rosé,Vino Dulce Alaris Cosecha Rosé,,Trapiche
Yogurt Entero Sancor Primeros Sabores Pulpa Manzana 240 Gr,Yogurt Entero Sancor Primeros Sabores Pulpa Manzana 240 Gr,,Sancor
Vino Tinto Nieto Senetiner Merlot 750 Cc,Vino Tinto Nieto Senetiner Merlot 750 Cc,,Nieto
Bombones Vergani Tartufo 150 g,Bombones Vergani Tartufo 150 g,Secondo Vergani,Vergani
Vino Tinto Terrazas De Los Andes Reserva Cabernet Sauvignon,Vino Tinto Terrazas De Los Andes Reserva Cabernet Sauvignon 750 Cc,,Terrazas
Agua Villa Del Sur Levite Cero Pomelo 1 L,Agua Villa Del Sur Levite Cero Pomelo 1 L,Danone,Villa Del Sur
Queso Milkaut Muzzarella X 100 Gr.,Queso Milkaut Muzzarella X 100 Gr.,,La Gallega
Cerveza Warsteiner Premium,Cerveza Warsteiner Premium,,Warsteiner
Quilmes Bock 340cc,Quilmes Bock 340cc,,Quilmes
Vino Tinto Latitud 33 Tempranillo 750 Cc,Vino Tinto Latitud 33 Tempranillo 750 Cc,,Latitud 33
Baggio Pronto X1.5 Multfruta,Baggio Pronto X1.5 Multfruta,,La Gallega
